1747 4785
264 562 -978413498
472 1374 -694474273
141 1674 260175223
701 1392 300267638
1402 248 971800609
187 223 -275255395
155 342 304302582
1075 1262 159804961
665 1730 905165474
1250 70 302603696
1175 333 945443768
1194 804 517961520
1461 945 434115696
815 1645 27854734
204 1300 311079904
179 1486 565288678
812 1640 955929337
205 968 399822438
1217 1632 380745561
1134 1135 460296349
525 563 840662125
478 10 -239358167
57 1469 841501767
1309 537 724340744
460 740 212517482
1605 918 -86576567
1225 1729 -209444759
1187 186 898228585
663 1402 766242097
122 790 64916844
1397 1314 708368950
1258 45 718184914
176 101 399890462
38 1409 -986339180
1543 122 -140236378
856 1726 909999479
1653 1205 889112994
597 644 -898593250
508 1306 706685706
304 1428 -389884661
1234 1078 -885700659
979 589 -835318518
733 764 -720776718
209 801 892040435
221 597 -969012324
972 1452 -992855090
893 1358 385800813
797 208 -877115277
885 715 618219077
629 1019 252549437
1162 505 -513827848
1261 1484 159749348
1405 470 -966077144
1649 679 -49805555
1555 899 632904855
1582 124 294571572
1588 1016 -151381971
1052 66 85599461
1159 950 903744458
826 1578 69295115
173 993 647168277
598 507 345732895
1610 165 883173882
1640 67 -340618299
723 1621 688017169
403 1456 828843911
1533 1297 -8138597
528 602 66182639
1476 14 -846785628
1392 839 959642306
579 1011 95581779
271 1608 675332133
1446 1471 863574848
1344 1364 939533206
173 340 795247642
1647 742 461705829
1498 528 -53947319
618 1054 634089005
1548 783 648699528
1682 428 -391896675
1647 1006 764849834
857 1276 605111204
574 974 288636787
455 571 -150650564
402 744 237443595
223 644 -914175880
1499 395 -310937417
579 1011 895777011
260 813 -208433135
1699 748 280176604
484 648 -569098657
279 1504 890909357
1680 331 5933544
1059 785 659147784
54 1186 -490066220
1135 1408 246308697
1210 1160 697116447
65 1738 -145781565
1720 251 783797296
665 203 -360932593
37 686 379671070
413 964 101190067
318 897 478956530
1196 209 -623454693
898 262 733489604
1344 1396 345037062
686 859 -327106488
421 923 -336888367
1167 896 -50219571
978 1560 181599428
1536 1596 966671957
995 262 69847848
210 579 -903761693
1501 28 -665519880
84 925 -366077278
1597 522 -767990291
1025 1207 214565199
1613 1627 -729348222
446 1047 296046454
1275 278 82316091
560 67 -90362703
531 1060 208911411
1465 1269 871047791
1549 1023 901979982
95 1106 -39144230
649 956 557608930
851 234 -61451837
165 100 -199210088
402 545 998552612
1533 72 -684366439
732 632 -608899837
1526 1162 604623487
836 880 57393601
723 682 -771632964
637 776 494089096
1476 1424 -411950613
1090 528 -144715029
163 693 -31310642
862 1093 591374181
861 880 673119867
1137 1611 -604474155
1478 1390 725264072
1133 478 -267817604
310 1200 512519124
509 91 -599245622
68 1566 -969189125
581 909 -365301673
1328 1071 426981931
428 187 -321686534
71 1047 684739383
1531 437 528575776
131 168 119459942
1637 1300 666303291
530 1609 40153613
105 372 142990892
454 438 -64329104
481 1019 975802554
1035 600 201934029
535 1026 414855234
1127 1096 -386881222
852 880 112358223
440 1010 303673733
1418 900 -208311205
1126 1429 -366202991
289 1532 58365411
1286 240 559483100
357 720 -274800539
336 8 410799463
1385 543 -415027534
875 1669 839092648
1410 774 -153720122
635 1213 -997940001
27 884 31697083
718 264 -332626473
1271 551 -578391547
449 90 -304843760
65 447 518827762
698 782 527321347
184 420 -852381074
694 1294 -941966039
554 956 -56694161
1293 1590 -667989667
1294 1616 343607388
449 587 644400293
1032 112 -725457337
1400 560 -622974611
261 624 -112480633
1587 1321 781827149
1174 1503 -738117231
1303 451 742541457
1353 1003 -163078008
431 549 -342617404
721 96 -492402996
148 544 179254008
1583 1575 306150617
77 1228 946652245
406 1487 -339758011
1181 1327 -827880689
990 754 893083671
1219 309 -591892462
994 1662 556283557
1725 346 -816108392
553 1065 -707008312
996 1212 -84719118
279 1048 -281867284
1420 1124 -876844359
1373 1529 825505899
204 963 344011249
354 207 -794006958
260 1425 -440929800
617 672 -538723315
229 650 -144081664
390 1202 -924994515
646 451 462145521
1445 729 -338261264
326 402 948327792
433 28 698938079
281 230 -198911036
1454 583 36607593
1634 843 -332623261
376 1458 435937854
779 1687 -820787067
1526 330 554584570
1591 974 -930350232
1122 672 -96337465
1700 997 362773488
1654 1429 393634874
1392 1709 656488680
345 1416 -676545784
1250 1303 287615152
87 1678 -42920970
